Question,Answer
以下六人中，有哪些人是爆竹 (Squib)：威農·德思禮 (Vernon Dursley)、阿各‧飛七 (Argus Filch)、榮恩‧衛斯理 (Ron Weasley)、妙麗‧格蘭傑 (Hermione Granger)、雅各‧科沃斯基 (Jacob Kowalski)、阿拉貝拉·費 (Arabella Figg)？,阿各‧飛七 (Argus Filch)、阿拉貝拉·費 (Arabella Figg)
意若思鏡 (The Mirror of Erised) 是取名自哪個英文詞語？,Desire
賽佛勒斯·石內卜 (Severus Snape)屬於霍格華茲的什麼學院？,史萊哲林 (Slytherin)
天狼星‧布萊克 (Sirius Black)屬於霍格華茲的什麼學院？,葛來分多 (Gryffindor)
奥利佛·木透 (Oliver Wood)屬於霍格華茲的什麼學院？,葛來分多 (Gryffindor)
露娜‧羅古德 (Luna Lovegood)屬於霍格華茲的什麼學院？,雷文克勞 (Ravenclaw)
西追‧迪哥里 (Cedric Diggory)屬於霍格華茲的什麼學院？,赫夫帕夫 (Hufflepuff)
記憶球 (Remembrall) 會在使用者忘記某件事情的時候變成什麼顏色？,紅色
飄浮咒 (Levitation Charm) 的咒語是？,溫咖癲啦唯啊薩 (Wingardium Leviosa)
麥米奈娃 (Minerva McGonagall) 教授的科目是？,變形學 (Transfiguration)
白鮮香精 (Essence of Dittany) 的作用是什麼？,使傷口癒合
根據分類帽 (Sorting Hat) 在1994年分類儀式前高歌的歌曲，霍格華茲四位創辦人分別對自己學院的學生，認為應該要是怎樣的人？,"葛來分多 (Gryffindor):勇者、史萊哲林 (Slytherin):野心勃勃的人、雷文克勞 (Ravenclaw):智者、赫夫帕夫 (Hufflepuff):勤奮的人	"
以下哪項不是阿不思‧鄧不利多 (Albus Dumbledore) 的成就：打敗黑巫師蓋瑞·葛林戴華德 (Gellert Grindelwald)、發現龍血的十二種用途、發明了縛狼汁 (Wolfsbane Potion)、與尼樂·勒梅 (Nicolas Flamel) 在鍊金術方面卓有成效？,發明了縛狼汁 (Wolfsbane Potion)
以下的人物分別屬於霍格華茲的什麼學院：李·喬丹 (Lee Jordan)、帕莫娜·芽菜 (Pomona Sprout)、吉德羅·洛哈(Gilderoy Lockhart)、獅子阿爾發·布萊克 (Regulus Black)、潘西·帕金森 (Pansy Parkinson)？,葛來分多 (Gryffindor)、赫夫帕夫 (Hufflepuff)、雷文克勞 (Ravenclaw)、史萊哲林 (Slytherin)、史萊哲林 (Slytherin)
哈利‧波特一年級到六年級時的黑魔法防禦術老師依序是誰？,奎里納斯·奎若 (Quirinus Quirrell)、吉德羅·洛哈 (Gilderoy Lockhart)、雷木思·路平 (Remus Lupin)、小巴堤·柯羅奇 (Bartemius Crouch Jr.)、桃樂絲·恩不里居 (Dolores Umbridge)、賽佛勒斯·石內卜 (Severus Snape)
衛斯理 (Weasley) 家的兄弟姊妹按年齡高到低排序,比爾 (Bill)、查理 (Charlie)、派西 (Percy)、弗雷 (Fred)、喬治 (George)、榮恩 (Ron)、金妮 (Ginny)
1995年，鳳凰會 (Order of the Phoenix) 總部的地址是？,古里某街12號 (12 Grimmauld Place)
以下角色：哈利‧波特 (Harry Potter)、莉莉‧波特 (Lily Potter)、麥米奈娃 (Minerva McGonagall)、詹姆‧波特 (James Potter)、賽佛勒斯‧石內卜 (Severus Snape)的護法 (Patronus)依序是？ ,雄鹿 (Stag)、母鹿 (Doe)、貓 (Cat)、雄鹿 (Stag)、母鹿 (Doe)
請依最矮到最高排列出霍格華茲城堡內的地點（變形學教室 (Transfiguration Classroom)、天文塔 (Astronomy Tower)、船屋 (Boathouse)、魔藥學教室 (Potions Classroom)、葛來分多交誼廳 (Gryffindor Common Room)）的高度。,船屋 (Boathouse)、魔藥學教室 (Potions Classroom)、變形學教室 (Transfiguration Classroom)、葛來分多交誼廳 (Gryffindor Common Room)、天文塔 (Astronomy Tower)
霍格華茲校歌中，一共出現了幾次的「霍格華茲」(Hogwarts) ？,3
米莉森·布洛德 (Millicent Bulstrode)屬於霍格華茲的什麼學院？,史萊哲林 (Slytherin)
漢娜·艾寶 (Hannah Abbott)屬於霍格華茲的什麼學院？,赫夫帕夫 (Hufflepuff)
阿尼·麥米蘭 (Ernie Macmillan)屬於霍格華茲的什麼學院？,赫夫帕夫 (Hufflepuff)
蘇珊·波恩 (Susan Bones)屬於霍格華茲的什麼學院？,赫夫帕夫 (Hufflepuff)
小仙女·東施 (Nymphadora Tonks)屬於霍格華茲的什麼學院？,赫夫帕夫 (Hufflepuff)
奎里納斯·奎若 (Quirinus Quirrell)屬於霍格華茲的什麼學院？,雷文克勞 (Ravenclaw)
西亞·史賓特 (Alicia Spinnet)屬於霍格華茲的什麼學院？,葛來分多 (Gryffindor)
馬科·福林 (Marcus Flint)屬於霍格華茲的什麼學院？,史萊哲林 (Slytherin)
阿斯托里亞·綠茵 (Astoria Greengrass)屬於霍格華茲的什麼學院？,史萊哲林 (Slytherin)
菲力·孚立維 (Filius Flitwick)屬於霍格華茲的什麼學院？,雷文克勞 (Ravenclaw)
位於英國魔法部 (The Ministry of Magic) 四樓的是哪一個部門？,奇獸管控部門 (Department for the Regulation and Control of Magical Creatures)
以下角色（露娜‧羅古德 (Luna Lovegood)、阿不思‧鄧不利多 (Albus Dumbledore)、妙麗‧格蘭傑 (Hermione Granger)、榮恩‧衛斯理 (Ron Weasley)、雷木思·路平 (Remus Lupin)）的護法 (Patronus) 依序是？,野兔 (Hare)、鳳凰 (Phoenix)、水瀨 (Otter)、傑克‧拉塞爾獵狗 (Jack Russell terrier)、狼 (Wolf)
奧利佛‧木透 (Oliver Wood) 畢業後成為了哪一隊魁地奇球隊的預備隊成員？,泥水池聯隊 (Puddlemere United)
以下化獸師 (Animagi) （天狼星·布萊克 (Sirius Black)、詹姆·波特 (James Potter)、麥米奈娃 (Minerva McGonagall)、莉塔·史譏 (Rita Skeeter)、彼得·佩迪魯 (Peter Pettigrew)）的化獸狀態依序是？,黑狗 (Black Dog)、雄鹿 (Stag)、虎斑貓 (Tabby Cat)、甲蟲 (Beetle)、老鼠 (Rat)
跩哥‧馬份 (Draco Malfoy) 的生日是？,1980年6月5日
哈利‧波特 (Harry Potter)的魔杖 (Wand)的材料由哪種木材與杖芯 (Wand core) 製作而成？,冬青木 (Holly)、鳳凰羽毛 (Phoenix feather)
跩哥‧馬份 (Draco Malfoy)的魔杖 (Wand)的材料由哪種木材與杖芯 (Wand core) 製作而成？,山楂木 (Hawthorn)、獨角獸毛 (Unicorn tail hair)
奈威·隆巴頓 (Neville Longbottom)的魔杖 (Wand)的材料由哪種木材與杖芯 (Wand core) 製作而成？,櫻桃木 (Cherry)、獨角獸毛 (Unicorn tail hair)
妙麗·格蘭傑 (Hermione Granger)的魔杖 (Wand)的材料由哪種木材與杖芯 (Wand core) 製作而成？,葡萄藤木 (Vine)、龍的心弦 (Dragon heartstring)
普通巫術等級測驗 (Ordinary Wizarding Leve) (O.W.L.) 的成績總共分多少個等級？,6
吉德羅·洛哈 (Gilderoy Lockhart) 獲得《女巫周刊》最迷人微笑獎的次數是？,5
下列人物（西奧多·諾特 (Theodore Nott)、賈斯汀·方列里 (Justin Finch-Fletchley)、潘妮·清水 (Penelope Clearwater)、羅咪·凡 (Romilda Vane)、麥可·寇那 (Michael Corner)）依序屬於霍格華茲的什麼學院？,史萊哲林 (Slytherin)、赫夫帕夫 (Hufflepuff)、雷文克勞 (Ravenclaw)、葛來分多 (Gryffindor)、雷文克勞 (Ravenclaw)
在哈利‧波特在學期間，葛來分多第一次贏得魁地奇冠軍盃的決賽中，葛來分多隊總共得到了幾分？,230分
以下人物（查理‧衛斯理 (Charlie Weasley)、莉莉‧波特 (Lily Potter)、湯姆·瑞斗 (Tom Riddle)、柯林·克利維 (Colin Creevey)、美黛·東施 (Andromeda Tonks)）的血統依序是,純血巫師 (Pure-blood)、麻瓜出身 (Muggle-born)、混血巫師 (Half-blood)、麻瓜出身 (Muggle-born)、純血巫師 (Pure-blood)
請問以下哪些商品（果凍蛞蝓 (Jelly Slug)、蟑螂串 (Cockroach Clusters)、吹舌太妃糖 (Ton-Tongue Toffee)、酷酸果 (Acid Pops)、甘草魔杖 (Liquorice Wand)、金絲雀奶油 (Canary Creams)、嘶嘶咻咻蜂 (Fizzing Whizzbees)）並沒有在蜂蜜公爵 (Honeydukes) 出售？,吹舌太妃糖 (Ton-Tongue Toffee)、金絲雀奶油 (Canary Creams)
請問差點沒頭的尼克 (Nearly Headless Nick) 是在哪一年逝世的呢？,1492年
霍格華茲 (Hogwarts) 從古至今的歷任校長依序是？,戴麗絲·德溫 (Dilys Derwent)、尤普拉西婭·摩爾 (Eupraxia Mole)、非尼呀·耐吉·布萊克 (Phineas Nigellus Black)、阿曼多·狄劈 (Armando Dippet)、阿不思·鄧不利多 (Albus Dumbledore)、桃樂絲·恩不里居 (Dolores Umbridge)、賽佛勒斯·石內卜 (Severus Snape)、麥米奈娃 (Minerva McGonagall)
1.往鑰匙孔里塞口香糖。2.飄到妙麗 (Hermione) 的床邊，使勁向他耳朵里吹氣。3.用拐杖追着恩不里居 (Umbridge) 打。4.向剛走進城堡的學生們投擲水彈。5.朝愛哭鬼麥朵 (Moaning Myrtle) 投擲發霉的花生。7.朝鄧不利多 (Dumbledore) 扔粉筆頭。以上哪些是皮皮鬼 (Peeves) 沒有做過的惡作劇？,2.飄到妙麗 (Hermione) 的床邊，使勁向他耳朵里吹氣。 4.騙飛七 (Filch) 他的貓拿樂絲太太 (Mrs Norris) 死掉了。 7.朝鄧不利多 (Dumbledore) 扔粉筆頭。
 請問榮恩‧衛斯理 (Ron Weasley) 在擔任葛來分多魁地奇球隊看守手 (Keeper) 時，所使用的掃把是以下哪一把？,狂風十一號 (Cleansweep Eleven)
湯姆·瑞斗 (Tom Riddle) 的生日是？,1926年12月31日
佛地魔的分靈體 (Horcrux) 被摧毀的先後次序是？,湯姆‧瑞斗的日記 (Tom Riddle's Diary)、魔佛羅‧剛特的戒指 (Marvolo Gaunt's Ring)、薩拉札·史萊哲林的小金匣 (Salazar Slytherin's Locket、海加·赫夫帕夫的杯子 (Helga Hufflepuff's Cup)、羅威娜·雷文克勞的王冕 (Rowena Ravenclaw's Diadem)、娜吉妮 (Nagini)
在斜角巷 (Diagon Alley) 的奧利凡德魔杖商店 (Ollivanders Wand Shop) 購買魔杖需要多少錢？,7個金加隆 ( Galleon )
巫師們的貨幣有哪三種？,納特 ( Knut )、銀西可 ( Sickle ) 和金加隆 ( Galleon )
神聖二十八姓 (Sacred Twenty-Eight) 中，並不包括以下哪些家族？,波特 (Potter)、鄧不利多 (Dumbledore)、葛林戴華德 (Grindelwald)
妙麗‧格蘭傑 (Hermione Granger) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的古代神秘文字研究 (Study of Ancient Runes)所取得的分數為何？,傑出 (O)
妙麗‧格蘭傑 (Hermione Granger) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的算命學 (Arithmancy)所取得的分數為何？,傑出 (O)
妙麗‧格蘭傑 (Hermione Granger) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的天文學 (Astronomy)所取得的分數為何？,傑出 (O)
妙麗‧格蘭傑 (Hermione Granger) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的奇獸飼育學 (Care of Magical Creatures)所取得的分數為何？,傑出 (O)
妙麗‧格蘭傑 (Hermione Granger) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的符咒學 (Charms)所取得的分數為何？,傑出 (O)
"妙麗‧格蘭傑 (Hermione Granger) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的黑魔法防禦術 (Defence Against the Dark Arts, DADA)所取得的分數為何？",超乎期待 (E)
妙麗‧格蘭傑 (Hermione Granger) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的占卜學 (Divination)所取得的分數為何？,沒有應考
妙麗‧格蘭傑 (Hermione Granger) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的藥草學 (Herbology)所取得的分數為何？,傑出 (O)
妙麗‧格蘭傑 (Hermione Granger) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的魔法史 (History of Magic)所取得的分數為何？,傑出 (O)
妙麗‧格蘭傑 (Hermione Granger) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的麻瓜研究 (Muggle Studies)所取得的分數為何？,沒有應考
妙麗‧格蘭傑 (Hermione Granger) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的魔藥學 (Potions)所取得的分數為何？,傑出 (O)
妙麗‧格蘭傑 (Hermione Granger) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的變形學 (Transfiguration)所取得的分數為何？,傑出 (O)
請問在1995年哈利‧波特被要求到魔法部進行的聽審會，是因為魔法部認為他涉嫌違反了什麼法律？,《國際巫師聯合會保密法》 (International Statute of Wizarding Secrecy)、《對未成年巫師加以合理約束法》 (Decree for the Reasonable Restriction of Underage Sorcery)
請問位於大阪的日本環球影城 (Universal Studios Japan) 哈利波特園區是在什麼時候開幕的呢？,2014年7月
 請問以下誰未曾當過魔法部部長（康尼留斯·夫子 (Cornelius Fudge）、盧夫·昆爵 (Rufus Scrimgeour)、巴堤·柯羅奇 (Barty Crouch)、金利·俠鉤帽 (Kingsley Shacklebolt)、拉道夫斯·雷斯壯 (Radolphus Lestrange)）？,巴堤·柯羅奇 (Barty Crouch)
三巫鬥法大賽 (Triwizard Tournament) 中，西追‧迪哥里 (Cedric Diggory)在第二項任務所得的分數為何？,47分
三巫鬥法大賽 (Triwizard Tournament) 中，哈利‧波特 (Harry Potter)在第二項任務所得的分數為何？,45分
三巫鬥法大賽 (Triwizard Tournament) 中，花兒·戴樂古 (Fleur Delacour)在第二項任務所得的分數為何？,25分
三巫鬥法大賽 (Triwizard Tournament) 中，維克多·喀浪 (Viktor Krum)在第二項任務所得的分數為何？,40分
請問以下哪一個是榮恩‧衛斯理 (Ron Weasley) 在哈利‧波特 (Harry Potter) 十七歲生日時送他的禮物呢？,《迷惑女巫的十二絕招》 (Twelve Fail-Safe Ways to Charm Witches)
在「七個波特」行動中的鳳凰會 (Order of the Phoenix) 成員分組為何？,1. 小仙女·東施 (Nymphadora Tonks)/榮恩·衛斯理 (Ron Weasley) 2.金利‧俠鉤帽 (Kingsley Shacklebolt)/妙麗·格蘭傑 (Hermione Granger) 3.阿拉特·穆敵 (Alastor Moody)/蒙當葛·弗列契 (Mundungus Fletcher) 4. 花兒·戴樂古 (Fleur Delacour)/比爾·衛斯理 (Bill Weasley) 5.弗雷·衛斯理 (Fred Weasley)/亞瑟‧衛斯理 (Arthur Weasley) 6.喬治·衛斯理 (George Weasley)/雷木思·路平 (Remus Lupin) 7.雷木思·路平 (Remus Lupin)/雷木思·路平 (Remus Lupin)
請問以下哪些不是吉德羅·洛哈 (Gilderoy Lockhart) 的著作（《與惡鬼四處遊蕩》(Gadding with Ghouls)、《對抗無臉敵人》 (Confronting the Faceless)、《吉德羅‧洛哈的家庭害獸指南》(Gilderoy Lockhart's Guide to Household Pests)、《與巫婆共度假期》(Holidays with Hags)、《神奇的我》(Magical Me)、《與山怪共遊》(Travels with Trolls)、《與報喪女妖共享休閒時光》 (Break with a Banshee)、《怪獸的怪獸書》(The Monster Book of Monsters)、《與吸血鬼同行》(Voyages with Vampires)、《與狼人結伴浪跡天涯》(Wanderings with Werewolves)、《與雪人相伴的歲月》 (Year with the Yeti)）？,《對抗無臉敵人》 (Confronting the Faceless)、《怪獸的怪獸書》(The Monster Book of Monsters)
以下哪些是變身水 (Polyjuice Potion) 的材料？,水蛭 (Leech)、斑點老鸛草 (Fluxweed)、節草 (Knotgrass)、草蜻蛉 (Lacewing fly)、雙角獸角粉 (Bicorn horn)、非洲樹蛇蛻 (Boomslang skin)、變身對象身上的東西 (Piece of person you're turning into)
以下角色（西莫‧斐尼干 (Seamus Finnigan)、阿波佛‧鄧不利多 (Aberforth Dumbledore)、張秋 (Cho Chang)、亞瑟·衛斯理 (Arthur Weasley)、金妮‧衛斯理 (Ginny Weasley)、阿尼‧麥米蘭 (Ernie Macmillan)）的護法 (Patronus) 依序是？,狐狸 (Fox)、山羊 (Goat)、天鵝 (Swan)、鼬鼠 (Weasel)、馬 (Horse)、公豬 (Boar)
請問在1994年的魁地奇世界盃決賽前，弗雷‧衛斯理 (Fred Weasley) 和喬治‧衛斯理 (George Weasley) 拿出來跟魯多·貝漫 (Ludo Bagman) 進行打賭的錢，把金加隆 (Gold-Galleon) 和銀西可 (Silver-Sickle) 都換成青銅納特 (Bronze-Knut) 的話是多少錢呢？,18676 納特 (Knut)
哈利‧波特 (Harry Potter) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的古代神秘文字研究 (Study of Ancient Runes)所取得的分數為何？,沒有應考
哈利‧波特 (Harry Potter) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的算命學 (Arithmancy)所取得的分數為何？,沒有應考
哈利‧波特 (Harry Potter) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的天文學 (Astronomy)所取得的分數為何？,合格 (A)
哈利‧波特 (Harry Potter) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的奇獸飼育學 (Care of Magical Creatures)所取得的分數為何？,超乎期待(E)
哈利‧波特 (Harry Potter) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的符咒學 (Charms)所取得的分數為何？,超乎期待(E)
"哈利‧波特 (Harry Potter) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的黑魔法防禦術 (Defence Against the Dark Arts, DADA)所取得的分數為何？",傑出 (O)
哈利‧波特 (Harry Potter) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的占卜學 (Divination)所取得的分數為何？,不佳 (P)
哈利‧波特 (Harry Potter) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的藥草學 (Herbology)所取得的分數為何？,超乎期待(E)
哈利‧波特 (Harry Potter) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的魔法史 (History of Magic)所取得的分數為何？,傑出 (O)
哈利‧波特 (Harry Potter) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的麻瓜研究 (Muggle Studies)所取得的分數為何？,沒有應考
哈利‧波特 (Harry Potter) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的魔藥學 (Potions)所取得的分數為何？,超乎期待(E)
哈利‧波特 (Harry Potter) 在普通巫術等級測驗 (Ordinary Wizarding Level) 中的變形學 (Transfiguration)所取得的分數為何？,超乎期待 €
請問在羅古德 (Lovegood) 家，門上掛著的手繪招牌之中，第二塊上面寫著「請自行挑選___」底線部分是什麼呢？,檞寄生 (Mistletoe)
請問在歌曲《Double Trouble》中，全曲一共出現了幾次的「Trouble」呢？,7